Account_number,PORTFOLIO,SSN,Phone No. ,Place Name,County,City,State,Zip,Region,Account Open Date,Loan_amount,Loan_status,Last_payment_date,Origination_fico_score,Current_fico_score,Current_outstanding
38673613,MORTGAGE,304-37-4344,405-232-1982,Marland,Noble,Marland,OK,74644,South,24-08-21,"$189,756",Non-Default,14-07-21,793,820,"$36,054"
38673614,CREDIT CARD,551-99-8018,304-619-7398,Maysville,Grant,Maysville,WV,26833,South,16-08-21,"$54,689",Non-Default,06-12-20,848,843,"$16,954"
38673615,MORTGAGE,251-99-5124,228-916-7675,Laurel,Jones,Laurel,MS,39440,South,14-03-21,"$819,997",Default,22-04-21,810,806,"$163,999"
38673616,MORTGAGE,020-94-0490,210-593-4277,Terlingua,Brewster,Terlingua,TX,79852,South,16-02-19,"$413,180",Non-Default,06-04-21,668,710,"$4,132"
38673617,CREDIT CARD,175-86-6459,215-824-8406,Winfield,Union,Winfield,PA,17889,Northeast,06-06-21,"$81,965",Non-Default,24-08-21,784,816,"$9,836"
38673618,CREDIT CARD,527-99-4285,212-754-9908,Albany,Albany,Albany,NY,12232,Northeast,27-08-19,"$69,827",Non-Default,30-03-21,721,742,"$25,836"
38673619,MORTGAGE,034-92-6655,479-794-8674,Tyronza,Poinsett,Tyronza,AR,72386,South,04-06-21,"$895,856",Non-Default,04-07-21,886,877,"$17,917"
38673620,PERSONAL LOAN,119-98-0410,240-440-8553,Dames Quarter,Dames Quarter,Dames Quarter,MD,21820,South,05-06-20,"$148,350",Non-Default,24-08-21,668,677,"$43,022"
38673621,CREDIT CARD,258-99-1021,423-622-3756,Nashville,Davidson,Nashville,TN,37214,South,16-11-20,"$44,898",Default,10-03-21,888,930,"$13,918"
38673622,PERSONAL LOAN,174-86-2888,201-274-7758,Vineland,Cumberland,Vineland,NJ,8360,Northeast,03-09-19,"$54,746",Default,24-08-21,728,732,"$15,876"
38673623,MORTGAGE,199-84-2022,229-424-4711,Duluth,Gwinnett,Duluth,GA,30097,South,28-07-21,"$231,795",Non-Default,01-11-20,830,862,"$48,677"
38673624,CREDIT CARD,643-29-0168,480-820-3346,Tucson,Pima,Tucson,AZ,85750,West,04-10-18,"$97,299",Non-Default,14-04-21,883,912,"$24,325"
38673625,CREDIT CARD,752-09-1941,304-275-3381,Carolina,Marion,Carolina,WV,26563,South,05-10-19,"$37,348",Non-Default,08-12-20,792,828,"$3,361"
38673626,PERSONAL LOAN,219-89-9027,218-432-4424,Coleraine,Itasca,Coleraine,MN,55722,Midwest,01-04-18,"$134,397",Default,27-04-21,831,868,"$67,199"
38673627,MORTGAGE,482-41-8027,339-967-7386,Hyannis Port,Barnstable,Hyannis Port,MA,2647,Northeast,04-07-18,"$459,643",Non-Default,01-08-21,754,750,"$64,350"
38673628,MORTGAGE,654-38-0981,205-502-8380,Dixons Mills,Marengo,Dixons Mills,AL,36736,South,05-01-19,"$935,749",Non-Default,17-11-20,890,931,"$290,082"
38673629,CREDIT CARD,691-18-0161,480-856-5132,Phoenix,Maricopa,Phoenix,AZ,85045,West,04-06-18,"$69,969",Non-Default,31-05-21,822,871,"$4,198"
38673630,MORTGAGE,136-25-1184,304-710-5884,Orlando,Lewis,Orlando,WV,26412,South,24-03-19,"$448,773",Non-Default,23-03-21,816,845,"$125,656"
38673631,CREDIT CARD,680-31-1003,212-210-0803,Watertown,Jefferson,Watertown,NY,13601,Northeast,21-08-18,"$62,580",Non-Default,27-04-21,755,752,"$8,135"
38673632,PERSONAL LOAN,605-87-9844,216-878-5884,Cincinnati,Hamilton,Cincinnati,OH,45206,Midwest,16-08-21,"$48,950",Non-Default,24-08-21,757,767,"$19,580"
38673633,CREDIT CARD,443-27-8655,262-964-9362,Galloway,Marathon,Galloway,WI,54432,Midwest,17-07-18,"$57,883",Non-Default,18-04-21,883,884,"$18,523"
38673634,MORTGAGE,408-99-6121,907-513-0613,Fairbanks,Fairbanks North Star,Fairbanks,AK,99790,West,24-08-21,"$555,778",Non-Default,29-11-20,773,768,"$205,638"
38673635,MORTGAGE,661-22-1814,207-464-1560,Camden,Knox,Camden,ME,4843,Northeast,22-02-18,"$779,239",Non-Default,04-01-21,724,759,"$54,547"
38673636,PERSONAL LOAN,078-02-4538,215-965-0584,Orbisonia,Huntingdon,Orbisonia,PA,17243,Northeast,10-08-18,"$172,175",Default,24-08-21,894,924,"$22,383"
38673637,MORTGAGE,761-12-7429,702-722-8923,Carson City,Carson City (city),Carson City,NV,89721,West,02-05-20,"$690,331",Non-Default,24-08-21,673,673,"$103,550"
38673638,MORTGAGE,277-17-3883,209-270-9588,Nubieber,Lassen,Nubieber,CA,96068,West,02-05-20,"$690,273",Default,23-04-21,699,698,"$248,498"
38673639,MORTGAGE,365-39-0856,231-565-8761,Oscoda,Oscoda,Oscoda,MI,48753,Midwest,28-05-19,"$556,275",Default,10-07-21,828,825,"$211,385"
38673640,CREDIT CARD,046-15-8620,225-206-9704,Bethany,Caddo,Bethany,LA,71007,South,22-08-21,"$90,301",Non-Default,27-02-21,781,782,"$43,344"
38673641,MORTGAGE,535-71-8517,225-581-9165,Grand Chenier,Cameron,Grand Chenier,LA,70643,South,12-03-18,"$290,129",Non-Default,24-08-21,773,798,"$14,506"
38673642,MORTGAGE,766-04-2794,319-537-6286,Fontanelle,Adair,Fontanelle,IA,50846,Midwest,14-12-19,"$856,201",Non-Default,06-02-21,815,860,"$171,240"
38673643,CREDIT CARD,564-99-3056,216-775-4008,Dayton,Montgomery,Dayton,OH,45424,Midwest,27-12-18,"$62,886",Default,24-08-21,872,910,"$8,804"
38673644,CREDIT CARD,599-92-6432,316-569-2974,Fowler,Meade,Fowler,KS,67844,Midwest,15-12-20,"$50,766",Non-Default,10-07-21,676,681,"$3,554"
38673645,CREDIT CARD,699-16-0989,212-314-7941,Marion,Wayne,Marion,NY,14505,Northeast,07-05-21,"$51,017",Default,18-07-21,652,689,"$9,693"
38673646,CREDIT CARD,079-02-4460,239-694-6684,Summerfield,Marion,Summerfield,FL,34492,South,20-10-20,"$51,126",Default,24-08-21,749,743,"$18,917"
38673647,CREDIT CARD,575-99-2871,212-479-1401,Bradford,Steuben,Bradford,NY,14815,Northeast,28-12-18,"$73,242",Non-Default,28-06-21,760,783,"$35,156"
38673648,PERSONAL LOAN,222-11-8097,303-946-2618,Ohio City,Gunnison,Ohio City,CO,81237,West,25-06-20,"$148,092",Non-Default,10-06-21,738,778,"$17,771"
38673649,CREDIT CARD,325-11-5942,270-718-5602,Oven Fork,Oven Fork,Oven Fork,KY,40861,South,06-05-19,"$86,559",Non-Default,24-02-21,778,814,"$38,086"
38673650,CREDIT CARD,539-71-8770,239-845-9257,O Brien,Suwannee,O Brien,FL,32071,South,24-02-19,"$77,903",Default,24-08-21,748,793,"$7,790"
38673651,MORTGAGE,563-99-9290,209-290-7541,San Jose,Santa Clara,San Jose,CA,95196,West,11-11-18,"$706,700",Non-Default,24-08-21,885,875,"$35,335"
38673652,PERSONAL LOAN,286-15-4517,215-554-3365,Bridgeport,Montgomery,Bridgeport,PA,19405,Northeast,19-09-20,"$189,042",Non-Default,24-08-21,889,939,"$86,959"
38673653,MORTGAGE,454-99-1506,240-520-4999,Hyattsville,Prince George's,Hyattsville,MD,20785,South,10-08-18,"$963,989",Default,24-08-21,800,821,"$298,837"
38673654,MORTGAGE,146-23-8893,218-822-4983,Bingham Lake,Cottonwood,Bingham Lake,MN,56118,Midwest,15-10-18,"$534,799",Default,24-08-21,764,789,"$213,920"
38673655,MORTGAGE,752-09-0836,217-844-1533,Smithshire,Warren,Smithshire,IL,61478,Midwest,06-10-18,"$688,809",Non-Default,23-08-21,851,888,"$82,657"
38673656,MORTGAGE,527-99-2378,808-337-2439,Kekaha,Kauai,Kekaha,HI,96752,West,17-08-18,"$189,060",Non-Default,21-08-21,827,858,"$83,186"
38673657,PERSONAL LOAN,297-15-7841,803-766-1484,Pelion,Lexington,Pelion,SC,29123,South,16-02-19,"$197,815",Default,05-07-21,797,792,"$49,454"
38673658,MORTGAGE,191-86-6279,319-478-7338,Titonka,Kossuth,Titonka,IA,50480,Midwest,02-03-21,"$114,143",Default,24-08-21,851,844,"$36,526"
38673659,PERSONAL LOAN,648-58-0558,215-601-4974,Campbelltown,Lebanon,Campbelltown,PA,17010,Northeast,26-09-20,"$140,393",Non-Default,21-01-21,846,887,"$44,926"
38673660,CREDIT CARD,583-99-9143,225-562-9568,Gloster,De Soto,Gloster,LA,71030,South,10-05-20,"$76,398",Non-Default,24-07-21,715,738,"$9,932"
38673661,MORTGAGE,281-15-2142,210-431-2908,Carrollton,Denton,Carrollton,TX,75010,South,24-10-19,"$383,713",Non-Default,24-08-21,863,906,"$161,159"
38673662,MORTGAGE,713-18-5659,210-595-2299,Old Ocean,Brazoria,Old Ocean,TX,77463,South,02-07-19,"$953,139",Non-Default,24-08-21,802,817,"$38,126"
38673663,CREDIT CARD,656-36-1040,316-849-1970,Freeport,Harper,Freeport,KS,67049,Midwest,19-06-19,"$36,006",Non-Default,24-08-21,828,869,"$12,602"
38673664,MORTGAGE,717-18-8062,304-221-6979,Charleston,Kanawha,Charleston,WV,25302,South,10-11-18,"$551,473",Default,15-12-20,871,882,"$16,544"
38673665,PERSONAL LOAN,523-99-3631,206-414-9623,Humptulips,Grays Harbor,Humptulips,WA,98552,West,04-05-18,"$151,050",Default,29-10-20,751,754,"$9,063"
38673666,MORTGAGE,503-45-0046,229-476-8341,Reidsville,Tattnall,Reidsville,GA,30499,South,24-04-18,"$209,016",Non-Default,03-06-21,861,880,"$16,721"
38673667,MORTGAGE,439-99-9395,225-398-9118,Geismar,Ascension,Geismar,LA,70734,South,28-03-20,"$281,141",Non-Default,06-07-21,818,824,"$5,623"
38673668,PERSONAL LOAN,317-35-3162,319-233-9397,Bayard,Guthrie,Bayard,IA,50029,Midwest,17-06-21,"$79,369",Non-Default,11-02-21,700,727,"$7,937"
38673669,MORTGAGE,084-02-8563,231-239-4482,Grand Rapids,Kent,Grand Rapids,MI,49504,Midwest,20-04-18,"$441,819",Non-Default,24-08-21,694,690,"$185,564"
38673670,CREDIT CARD,119-98-5733,215-753-6443,Conshohocken,Montgomery,Conshohocken,PA,19428,Northeast,12-04-18,"$70,450",Default,23-03-21,864,890,"$11,272"
38673671,CREDIT CARD,510-33-2272,209-685-5524,Klamath,Del Norte,Klamath,CA,95548,West,12-12-20,"$62,200",Non-Default,02-08-21,755,751,"$18,660"
38673672,CREDIT CARD,168-86-4252,303-439-4051,Westminster,Adams,Westminster,CO,80036,West,14-11-20,"$90,548",Default,24-08-21,828,861,"$9,055"
38673673,CREDIT CARD,730-28-5224,302-854-2835,Yorklyn,New Castle,Yorklyn,DE,19736,South,05-10-19,"$52,977",Non-Default,28-06-21,811,843,"$25,429"
38673674,PERSONAL LOAN,381-37-7296,210-580-0080,San Antonio,Bexar,San Antonio,TX,78254,South,09-03-19,"$78,303",Non-Default,24-08-21,723,733,"$33,670"
38673675,CREDIT CARD,691-18-0845,239-272-2787,Melbourne,Brevard,Melbourne,FL,32919,South,19-07-19,"$32,077",Non-Default,26-02-21,862,911,"$3,208"
38673676,MORTGAGE,180-86-1925,316-607-0666,Woodston,Rooks,Woodston,KS,67675,Midwest,14-06-19,"$153,025",Non-Default,14-03-21,893,887,"$41,317"
38673677,CREDIT CARD,141-23-8932,201-633-2534,Trenton,Mercer,Trenton,NJ,8601,Northeast,21-03-18,"$83,565",Non-Default,06-05-21,715,710,"$36,769"
38673678,MORTGAGE,108-98-2592,208-538-5228,Pollock,Idaho,Pollock,ID,83547,West,28-11-19,"$629,157",Non-Default,19-04-21,751,783,"$132,123"
38673679,CREDIT CARD,111-98-5822,201-944-5009,Vineland,Cumberland,Vineland,NJ,8362,Northeast,08-05-20,"$47,024",Non-Default,24-08-21,841,888,"$7,994"
38673680,MORTGAGE,145-23-2551,702-530-1468,Las Vegas,Clark,Las Vegas,NV,89155,West,17-03-21,"$371,595",Default,14-07-21,689,724,"$118,910"
38673681,PERSONAL LOAN,241-99-7036,319-375-3929,Ankeny,Polk,Ankeny,IA,50015,Midwest,12-05-18,"$136,591",Non-Default,17-01-21,886,921,"$61,466"
38673682,MORTGAGE,626-85-7758,240-230-0365,Earleville,Cecil,Earleville,MD,21919,South,25-06-20,"$322,304",Default,16-03-21,760,807,"$112,806"
38673683,MORTGAGE,257-99-2443,217-213-8791,Wheaton,DuPage,Wheaton,IL,60187,Midwest,24-08-21,"$544,072",Default,14-07-21,864,904,"$21,763"
38673684,CREDIT CARD,500-29-3283,270-825-1184,Summersville,Green,Summersville,KY,42782,South,08-05-18,"$69,239",Default,24-08-21,731,743,"$6,924"
38673685,MORTGAGE,354-08-3914,212-905-9874,Brewerton,Onondaga,Brewerton,NY,13029,Northeast,24-08-21,"$112,320",Non-Default,08-04-21,790,829,"$25,834"
38673686,MORTGAGE,528-99-2213,907-989-6466,Wainwright,North Slope,Wainwright,AK,99782,West,04-06-20,"$212,247",Non-Default,27-11-20,877,913,"$23,347"
38673687,CREDIT CARD,395-33-5478,316-215-3237,Olmitz,Barton,Olmitz,KS,67564,Midwest,13-07-18,"$99,727",Non-Default,11-08-21,804,821,"$11,967"
38673688,PERSONAL LOAN,041-15-7057,218-936-7040,Fifty Lakes,Crow Wing,Fifty Lakes,MN,56448,Midwest,12-10-20,"$112,074",Non-Default,30-07-21,877,909,"$3,362"
38673689,PERSONAL LOAN,274-17-5979,314-470-5719,Saint Peters,St. Charles,Saint Peters,MO,63376,Midwest,13-01-18,"$184,368",Non-Default,16-03-21,822,825,"$16,593"
38673690,MORTGAGE,147-23-3658,217-868-7010,Forest City,Mason,Forest City,IL,61532,Midwest,25-02-21,"$514,081",Non-Default,29-05-21,705,703,"$107,957"
38673691,MORTGAGE,640-29-4230,252-399-8698,Dobson,Surry,Dobson,NC,27017,South,13-03-19,"$158,986",Default,07-11-20,898,947,"$76,313"
38673692,CREDIT CARD,474-55-7589,215-487-2693,Howard,Centre,Howard,PA,16841,Northeast,11-03-21,"$64,708",Default,04-07-21,799,845,"$23,942"
38673693,CREDIT CARD,237-99-6672,201-593-7619,Wharton,Morris,Wharton,NJ,7885,Northeast,21-05-19,"$51,704",Default,22-07-21,689,737,"$15,511"
38673694,PERSONAL LOAN,097-02-3073,385-579-4998,Pleasant Grove,Utah,Pleasant Grove,UT,84062,West,02-04-18,"$174,370",Non-Default,31-07-21,721,712,"$5,231"
38673695,MORTGAGE,412-99-7530,702-930-0580,Las Vegas,Clark,Las Vegas,NV,89148,West,27-01-21,"$208,326",Non-Default,18-03-21,784,821,"$87,497"
38673696,CREDIT CARD,360-08-4375,304-985-2624,Morgantown,Monongalia,Morgantown,WV,26504,South,23-04-18,"$63,703",Non-Default,24-08-21,785,820,"$14,652"
38673697,PERSONAL LOAN,175-86-1469,252-410-2682,Rockwell,Rowan,Rockwell,NC,28138,South,27-07-19,"$143,994",Default,21-06-21,725,720,"$43,198"
38673698,CREDIT CARD,485-41-9721,803-478-8876,Aiken,Aiken,Aiken,SC,29801,South,23-03-20,"$60,197",Default,30-03-21,687,732,"$4,816"
38673699,MORTGAGE,711-18-8744,316-690-1685,Liberty,Montgomery,Liberty,KS,67351,Midwest,16-01-20,"$641,031",Non-Default,24-08-21,878,918,"$147,437"
38673700,CREDIT CARD,415-99-7694,215-612-2219,Harrisburg,Dauphin,Harrisburg,PA,17130,Northeast,01-12-20,"$47,120",Non-Default,06-03-21,831,829,"$17,906"
38673701,PERSONAL LOAN,456-99-2872,215-536-3004,Johnsonburg,Elk,Johnsonburg,PA,15845,Northeast,25-12-18,"$154,605",Non-Default,24-08-21,863,879,"$69,572"
38673702,CREDIT CARD,183-86-6147,308-675-1267,Weeping Water,Cass,Weeping Water,NE,68463,Midwest,16-07-18,"$83,408",Non-Default,22-04-21,888,903,"$40,870"
38673703,CREDIT CARD,346-08-0768,231-671-4710,Prattville,Prattville,Prattville,MI,49273,Midwest,14-01-20,"$86,433",Default,15-12-20,763,787,"$12,101"
38673704,CREDIT CARD,481-41-3606,802-639-9797,Bethel,Windsor,Bethel,VT,5032,Northeast,20-11-20,"$69,575",Non-Default,24-08-21,894,921,"$7,653"
38673705,CREDIT CARD,401-73-5418,215-526-2531,Glenmoore,Chester,Glenmoore,PA,19343,Northeast,25-11-18,"$92,667",Default,07-05-21,708,757,"$37,993"
38673706,CREDIT CARD,564-99-3176,209-706-1739,Port Hueneme,Ventura,Port Hueneme,CA,93041,West,11-05-18,"$88,450",Non-Default,24-08-21,681,726,"$13,268"
38673707,CREDIT CARD,454-99-1027,216-589-4850,Reesville,Clinton,Reesville,OH,45166,Midwest,28-05-20,"$75,842",Non-Default,17-01-21,663,685,"$16,685"
38673708,MORTGAGE,278-17-8949,239-663-6180,Windermere,Orange,Windermere,FL,34786,South,07-01-21,"$578,809",Non-Default,24-08-21,752,791,"$237,312"
38673709,CREDIT CARD,522-99-0675,215-957-7708,Mount Morris,Greene,Mount Morris,PA,15349,Northeast,22-09-20,"$86,912",Default,31-07-21,755,756,"$12,168"
38673710,CREDIT CARD,256-99-4913,339-630-2363,Sheldonville,Norfolk,Sheldonville,MA,2070,Northeast,03-03-18,"$27,850",Non-Default,24-08-21,813,809,"$2,785"
38673711,CREDIT CARD,771-02-6478,209-285-9800,Anaheim,Orange,Anaheim,CA,92802,West,27-01-18,"$57,136",Non-Default,30-11-20,739,770,"$10,856"
38673712,MORTGAGE,168-86-6349,210-508-4687,Nocona,Montague,Nocona,TX,76255,South,18-12-20,"$262,146",Non-Default,19-06-21,777,788,"$83,887"
38673713,PERSONAL LOAN,284-15-2241,339-933-7480,Middleboro,Plymouth,Middleboro,MA,2348,Northeast,20-05-20,"$78,662",Non-Default,24-08-21,750,761,"$24,385"
38673714,CREDIT CARD,412-99-3747,252-232-7709,State Road,Surry,State Road,NC,28676,South,02-04-20,"$88,865",Default,22-07-21,701,701,"$18,662"
38673715,MORTGAGE,250-99-8613,319-624-9756,Elkader,Clayton,Elkader,IA,52043,Midwest,09-02-19,"$454,042",Non-Default,24-08-21,800,833,"$36,323"
38673716,MORTGAGE,391-33-9207,803-620-1140,Camden,Kershaw,Camden,SC,29020,South,24-08-21,"$690,176",Non-Default,02-02-21,674,695,"$310,579"
38673717,MORTGAGE,343-11-0747,212-883-3294,New York City,New York,New York City,NY,10106,Northeast,02-08-20,"$723,176",Non-Default,19-04-21,839,889,"$72,318"
38673718,PERSONAL LOAN,177-86-5347,229-822-4848,Fairmount,Gordon,Fairmount,GA,30139,South,28-11-19,"$115,401",Non-Default,15-05-21,730,753,"$56,546"
38673719,PERSONAL LOAN,307-37-8452,215-498-7413,Philadelphia,Philadelphia,Philadelphia,PA,19112,Northeast,22-07-21,"$150,745",Non-Default,24-05-21,897,914,"$45,224"
38673720,CREDIT CARD,313-35-6708,207-371-3858,Portland,Cumberland,Portland,ME,4103,Northeast,24-03-20,"$87,515",Non-Default,24-08-21,894,890,"$40,257"
38673721,MORTGAGE,296-15-8853,210-860-9092,Asherton,Dimmit,Asherton,TX,78827,South,18-08-19,"$840,261",Default,08-02-21,668,697,"$50,416"
38673722,CREDIT CARD,460-99-3663,505-234-3350,Gallup,McKinley,Gallup,NM,87305,West,02-07-19,"$88,640",Non-Default,05-01-21,728,763,"$11,523"
38673723,CREDIT CARD,088-02-1546,808-922-7965,Hana,Maui,Hana,HI,96713,West,24-08-21,"$95,641",Non-Default,08-07-21,686,689,"$28,692"
38673724,CREDIT CARD,695-16-8818,219-259-3661,Paragon,Morgan,Paragon,IN,46166,Midwest,22-03-20,"$71,409",Non-Default,24-08-21,697,703,"$4,999"
38673725,CREDIT CARD,188-86-6252,212-943-1323,Holtsville,Suffolk,Holtsville,NY,501,Northeast,20-05-19,"$32,887",Default,24-08-21,738,782,"$9,537"
38673726,CREDIT CARD,168-86-5926,212-729-5285,Indian Lake,Hamilton,Indian Lake,NY,12842,Northeast,27-03-21,"$83,522",Non-Default,05-04-21,792,822,"$30,903"
38673727,PERSONAL LOAN,326-11-2977,803-439-9109,Campobello,Spartanburg,Campobello,SC,29322,South,01-07-18,"$172,266",Non-Default,11-05-21,739,740,"$1,723"
38673728,MORTGAGE,665-22-1285,229-206-3870,Lawrenceville,Gwinnett,Lawrenceville,GA,30042,South,18-10-20,"$490,480",Non-Default,24-08-21,695,704,"$201,097"
38673729,MORTGAGE,521-99-4667,217-235-8929,Medinah,DuPage,Medinah,IL,60157,Midwest,12-12-19,"$455,140",Non-Default,28-12-20,745,781,"$186,607"
38673730,CREDIT CARD,750-20-7649,252-890-5223,Stanfield,Stanly,Stanfield,NC,28163,South,26-02-20,"$65,578",Non-Default,12-04-21,795,804,"$19,673"
38673731,CREDIT CARD,337-11-2362,405-513-1041,Arkoma,Le Flore,Arkoma,OK,74901,South,21-06-19,"$28,738",Non-Default,29-12-20,675,709,"$12,645"
